,dataset,metric,1vsall_dm_relu_normalized
197,defocus_blur_4,ece,0.06872148811817169
198,defocus_blur_4,nll,0.5244486927986145
199,defocus_blur_4,brier,0.30031290650367737
200,defocus_blur_5,loss,1.9838808774948118
201,defocus_blur_5,logits_loss,1.8855763673782349
206,defocus_blur_5,acc,0.7505139708518982
207,defocus_blur_5,ece,0.05818453431129456
208,defocus_blur_5,nll,0.732904851436615
209,defocus_blur_5,brier,0.4186936616897583
210,frosted_glass_blur_1,loss,2.8586747646331787
211,frosted_glass_blur_1,logits_loss,2.7603700160980225
216,frosted_glass_blur_1,acc,0.4201274812221527
217,frosted_glass_blur_1,ece,0.2337820678949356
218,frosted_glass_blur_1,nll,1.5005824565887451
219,frosted_glass_blur_1,brier,0.8126099705696106
220,frosted_glass_blur_2,loss,2.790374279022217
221,frosted_glass_blur_2,logits_loss,2.6920695304870605
226,frosted_glass_blur_2,acc,0.44685444235801697
227,frosted_glass_blur_2,ece,0.2112681269645691
228,frosted_glass_blur_2,nll,1.4407771825790403
229,frosted_glass_blur_2,brier,0.7825129628181458
230,frosted_glass_blur_3,loss,2.690927028656006
231,frosted_glass_blur_3,logits_loss,2.5926222801208496
236,frosted_glass_blur_3,acc,0.4868420958518982
237,frosted_glass_blur_3,ece,0.1811370700597763
238,frosted_glass_blur_3,nll,1.3580554723739624
239,frosted_glass_blur_3,brier,0.7349975109100342
240,frosted_glass_blur_4,loss,3.0342957973480225
241,frosted_glass_blur_4,logits_loss,2.935991048812866
246,frosted_glass_blur_4,acc,0.3555715382099152
247,frosted_glass_blur_4,ece,0.29239901900291443
248,frosted_glass_blur_4,nll,1.6471294164657593
249,frosted_glass_blur_4,brier,0.8984109163284302
250,frosted_glass_blur_5,loss,2.9530792236328125
251,frosted_glass_blur_5,logits_loss,2.8547742366790767
256,frosted_glass_blur_5,acc,0.3838404715061188
257,frosted_glass_blur_5,ece,0.2682768404483795
258,frosted_glass_blur_5,nll,1.5810561180114746
259,frosted_glass_blur_5,brier,0.8600791096687317
260,motion_blur_1,loss,1.7356719970703125
261,motion_blur_1,logits_loss,1.6373677253723145
266,motion_blur_1,acc,0.8408716917037964
267,motion_blur_1,ece,0.07224265486001967
268,motion_blur_1,nll,0.5279126763343811
269,motion_blur_1,brier,0.2953929305076599
270,motion_blur_2,loss,1.8336163759231567
271,motion_blur_2,logits_loss,1.7353119850158691
276,motion_blur_2,acc,0.8034539222717285
277,motion_blur_2,ece,0.05582904815673828
278,motion_blur_2,nll,0.6118596792221069
279,motion_blur_2,brier,0.3419587314128876
280,motion_blur_3,loss,1.9979623556137085
281,motion_blur_3,logits_loss,1.899658203125
286,motion_blur_3,acc,0.7416735291481018
287,motion_blur_3,ece,0.04846592620015144
288,motion_blur_3,nll,0.7528186440467834
289,motion_blur_3,brier,0.4199555814266205
290,motion_blur_4,loss,2.00376296043396
291,motion_blur_4,logits_loss,1.9054585695266724
296,motion_blur_4,acc,0.7367393374443054
297,motion_blur_4,ece,0.05089096352458
298,motion_blur_4,nll,0.7582813501358032
299,motion_blur_4,brier,0.4229423105716705
300,motion_blur_5,loss,2.167184352874756
301,motion_blur_5,logits_loss,2.0688796043396
306,motion_blur_5,acc,0.6780427694320679
307,motion_blur_5,ece,0.07355198264122009
308,motion_blur_5,nll,0.8987488746643066
309,motion_blur_5,brier,0.4996046125888825
310,zoom_blur_1,loss,1.7306052446365356
311,zoom_blur_1,logits_loss,1.6323009729385376
316,zoom_blur_1,acc,0.8441612124443054
317,zoom_blur_1,ece,0.07831132411956787
318,zoom_blur_1,nll,0.5236942172050476
319,zoom_blur_1,brier,0.2919677793979645
320,zoom_blur_2,loss,1.7324126958847046
321,zoom_blur_2,logits_loss,1.6341081857681274
326,zoom_blur_2,acc,0.8425164222717285
327,zoom_blur_2,ece,0.07347305864095688
328,zoom_blur_2,nll,0.5233247876167297
329,zoom_blur_2,brier,0.29454874992370605
330,zoom_blur_3,loss,1.7872382402420044
